city,year,weekofyear,total_cases
iq,2010,30,1
iq,2010,31,2
iq,2010,32,1
iq,2010,33,2
iq,2010,34,1
iq,2010,35,3
iq,2010,36,2
iq,2010,37,3
iq,2010,38,3
iq,2010,39,2
iq,2010,40,3
iq,2010,41,3
iq,2010,42,6
iq,2010,43,5
iq,2010,44,4
iq,2010,45,8
iq,2010,46,10
iq,2010,47,7
iq,2010,48,6
iq,2010,49,6
iq,2010,50,8
iq,2010,51,1
iq,2011,52,5
iq,2011,1,16
iq,2011,2,11
iq,2011,3,10
iq,2011,4,7
iq,2011,5,9
iq,2011,6,13
iq,2011,7,15
iq,2011,8,12
iq,2011,9,11
iq,2011,10,8
iq,2011,11,7
iq,2011,12,8
iq,2011,13,7
iq,2011,14,6
iq,2011,15,8
iq,2011,16,6
iq,2011,17,5
iq,2011,18,6
iq,2011,19,2
iq,2011,20,2
iq,2011,21,3
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,1
iq,2011,26,2
iq,2011,27,2
iq,2011,28,1
iq,2011,29,1
iq,2011,30,2
iq,2011,31,1
iq,2011,32,2
iq,2011,33,3
iq,2011,34,2
iq,2011,35,2
iq,2011,36,3
iq,2011,37,1
iq,2011,38,1
iq,2011,39,3
iq,2011,40,2
iq,2011,41,6
iq,2011,42,5
iq,2011,43,7
iq,2011,44,10
iq,2011,45,8
iq,2011,46,7
iq,2011,47,8
iq,2011,48,7
iq,2011,49,6
iq,2011,50,11
iq,2011,51,10
iq,2012,52,6
iq,2012,1,7
iq,2012,2,11
iq,2012,3,9
iq,2012,4,6
iq,2012,5,14
iq,2012,6,14
iq,2012,7,7
iq,2012,8,8
iq,2012,9,2
iq,2012,10,7
iq,2012,11,2
iq,2012,12,2
iq,2012,13,6
iq,2012,14,4
iq,2012,15,5
iq,2012,16,6
iq,2012,17,6
iq,2012,18,6
iq,2012,19,1
iq,2012,20,6
iq,2012,21,2
iq,2012,22,2
iq,2012,23,2
iq,2012,24,3
iq,2012,25,2
iq,2012,26,2
iq,2012,27,3
iq,2012,28,3
iq,2012,29,3
iq,2012,30,2
iq,2012,31,1
iq,2012,32,1
iq,2012,33,1
iq,2012,34,3
iq,2012,35,1
iq,2012,36,1
iq,2012,37,2
iq,2012,38,2
iq,2012,39,3
iq,2012,40,1
iq,2012,41,12
iq,2012,42,3
iq,2012,43,7
iq,2012,44,7
iq,2012,45,7
iq,2012,46,7
iq,2012,47,6
iq,2012,48,5
iq,2012,49,8
iq,2012,50,7
iq,2012,51,4
iq,2013,1,7
iq,2013,2,10
iq,2013,3,5
iq,2013,4,12
iq,2013,5,8
iq,2013,6,10
iq,2013,7,13
iq,2013,8,12
iq,2013,9,11
iq,2013,10,7
iq,2013,11,7
iq,2013,12,8
iq,2013,13,5
iq,2013,14,5
iq,2013,15,6
iq,2013,16,5
iq,2013,17,6
iq,2013,18,1
iq,2013,19,5
iq,2013,20,5
iq,2013,21,3
iq,2013,22,2
iq,2013,23,3
iq,2013,24,2
iq,2013,25,1
iq,2013,26,2
