,city,total_cases,weekofyear,year
10,iq,4,36,2010
11,iq,0,37,2010
12,iq,7,38,2010
13,iq,12,39,2010
14,iq,12,40,2010
15,iq,10,41,2010
16,iq,14,42,2010
17,iq,4,43,2010
18,iq,10,44,2010
19,iq,14,45,2010
20,iq,28,46,2010
21,iq,12,47,2010
22,iq,5,48,2010
23,iq,11,49,2010
24,iq,19,50,2010
25,iq,0,51,2010
26,iq,2,52,2011
27,iq,17,1,2011
28,iq,10,2,2011
29,iq,7,3,2011
30,iq,18,4,2011
31,iq,19,5,2011
32,iq,10,6,2011
33,iq,18,7,2011
34,iq,10,8,2011
35,iq,19,9,2011
36,iq,6,10,2011
37,iq,6,11,2011
38,iq,4,12,2011
39,iq,4,13,2011
40,iq,1,14,2011
41,iq,4,15,2011
42,iq,11,16,2011
43,iq,5,17,2011
44,iq,3,18,2011
45,iq,0,19,2011
46,iq,7,20,2011
47,iq,3,21,2011
48,iq,2,22,2011
49,iq,0,23,2011
50,iq,3,24,2011
51,iq,2,25,2011
52,iq,3,26,2011
53,iq,3,27,2011
54,iq,1,28,2011
55,iq,3,29,2011
56,iq,2,30,2011
57,iq,4,31,2011
58,iq,3,32,2011
59,iq,4,33,2011
60,iq,1,34,2011
61,iq,3,35,2011
62,iq,2,36,2011
63,iq,8,37,2011
64,iq,10,38,2011
65,iq,12,39,2011
66,iq,8,40,2011
67,iq,2,41,2011
68,iq,10,42,2011
69,iq,10,43,2011
70,iq,12,44,2011
71,iq,16,45,2011
72,iq,15,46,2011
73,iq,15,47,2011
74,iq,5,48,2011
75,iq,34,49,2011
76,iq,80,50,2011
77,iq,25,51,2011
78,iq,8,52,2012
79,iq,4,1,2012
80,iq,12,2,2012
81,iq,7,3,2012
82,iq,27,4,2012
83,iq,31,5,2012
84,iq,21,6,2012
85,iq,4,7,2012
86,iq,27,8,2012
87,iq,5,9,2012
88,iq,2,10,2012
89,iq,1,11,2012
90,iq,2,12,2012
91,iq,5,13,2012
92,iq,6,14,2012
93,iq,6,15,2012
94,iq,8,16,2012
95,iq,5,17,2012
96,iq,6,18,2012
97,iq,2,19,2012
98,iq,5,20,2012
99,iq,1,21,2012
100,iq,0,22,2012
101,iq,1,23,2012
102,iq,4,24,2012
103,iq,4,25,2012
104,iq,2,26,2012
105,iq,4,27,2012
106,iq,2,28,2012
107,iq,2,29,2012
108,iq,1,30,2012
109,iq,1,31,2012
110,iq,5,32,2012
111,iq,4,33,2012
112,iq,3,34,2012
113,iq,4,35,2012
114,iq,3,36,2012
115,iq,1,37,2012
116,iq,3,38,2012
117,iq,12,39,2012
118,iq,16,40,2012
119,iq,15,41,2012
120,iq,16,42,2012
121,iq,23,43,2012
122,iq,7,44,2012
123,iq,16,45,2012
124,iq,14,46,2012
125,iq,8,47,2012
126,iq,10,48,2012
127,iq,27,49,2012
128,iq,2,50,2012
129,iq,4,51,2012
130,iq,8,1,2013
131,iq,28,2,2013
132,iq,12,3,2013
133,iq,12,4,2013
134,iq,15,5,2013
135,iq,19,6,2013
136,iq,18,7,2013
137,iq,9,8,2013
138,iq,12,9,2013
139,iq,4,10,2013
140,iq,8,11,2013
141,iq,9,12,2013
142,iq,13,13,2013
143,iq,7,14,2013
144,iq,5,15,2013
145,iq,6,16,2013
146,iq,8,17,2013
147,iq,3,18,2013
148,iq,5,19,2013
149,iq,1,20,2013
150,iq,5,21,2013
151,iq,3,22,2013
152,iq,5,23,2013
153,iq,4,24,2013
154,iq,3,25,2013
155,iq,4,26,2013
